A\A\B421.wav,家庭军队,家庭军队。
A\A\Q256.wav,乒乓球拍羽毛球拍镜子你觉得是哪一个东西,乒乓球拍，羽毛球拍禁止，你觉得是哪一个东西？
A\B\L73.wav,勇气嘞个嘞个有,勇气那个。
A\A\A414.wav,爷爷你好像上回做过的做过的,么？
A\C\F367.wav,唉不感觉到哦好那婆婆你早上起来开心吗,我不感觉到，婆婆你这哈儿起来开心吗？
A\B\G189.wav,她说她画不起可以先给她飘一眼这个,他说他发不起，可以先给他瞟一眼。
A\A\C656.wav,飞机飞机说过乌龟乌龟没有说过,飞机回去乌龟，乌龟没说过。
A\C\H359.wav,人民没有猎人没有前额,任命没有猎人千。
A\C\C167.wav,卫生间唉装垃圾滴哇啊嗯有一个是种乐器,装的吗？
A\B\G136.wav,食指诶好,辞职。
A\A\D434.wav,标靶飞镖火箭,那标版非标还是火箭？
A\C\G361.wav,嗯应该还是持续了有一段时间有一年多了嘛一年多哈有没有说身体哪里不舒服呢,嗯，应该还是持续了，有一段是可能还是有一年多了嘛，又没有说身体哪里不舒服呢。
A\A\E526.wav,嗯给您几个选项哈阿姨是棚架还是网应该是网,嗯，给你应该是one。
A\B\F47.wav,然后用双手把这张纸对折要双手哈,然后用双手把那张纸对折，要双手哈。
A\C\B408.wav,愿意呆在房间里还是愿意出去走路当然出去出去哈出去玩一下也要回家休息,因为你呆在房间里还是因为呆在那还是出去走路啊，那些，要回家休息。
A\B\Z91.wav,圈出来这个手指叫啥子名字我们喊他喊啥子大指拇,选出来那个指拇儿叫啥子名字？我们喊他喊啥子？
A\B\S379.wav,勇气有没有出现过叔叔,
A\A\B015.wav,就先查因为他确实是诊断应该也不是很好说,出现筋骨出话，整死你。
A\B\A77.wav,很好哪一个是植物仙人掌好很好这四个也是要记住哈过一会儿要问您,嗯哈，然后那一个是植物天。
A\A\A757.wav,看起不像黑抑郁的呀你这个问题,火。
A\A\B644.wav,嗯好的你害不害怕有那种不开心的事情落在你头上呢,嗯，好的，你害不害怕又嫩个不开心的事情落在你头上呢？
A\A\C102.wav,现在我们斗来想回忆一哈刚刚我们看了哪些呀,现在我们就来，嗯，想回一哈儿，刚才我们看了哪些呀？
A\A\B194.wav,昨天也在喊胸口痛也就喊了个多小时,嗯。
A\A\Q606.wav,几号今天六号,这下6号6号。
A\B\B411.wav,发型发表发扬发型发帽嗯好没事,发不发羊发型，发，嗯。
A\B\S248.wav,现在九点过哈嗯嗯好,现在就连给我哈。
A\B\A104.wav,然后还是刚才那些东西就是包括我提示给你的和前面都看过的能记到哪些,然后还是刚才那些东西就是包括货期是概念了，和前面都看过的人挤到那些。
A\A\C676.wav,那他有没有妄想的症状呢没有,那他又没有网线咋整装呢？没有。
A\C\D264.wav,称称又不对头是称还是三角尺还是量角器,陈一是称还是三角尺还是量角器？
A\B\C14.wav,二十五那是 二十五刚刚的已经画了三,25，老四，25。
A\C\G388.wav,嗯比如说下小区啊或者去去更远的地方哪些可以吗,子，又说小区啊，或者去其他获取个地方那些可以吗？
A\A\B659.wav,叔叔我现在问您哈刚才我给你说了很多遍很多遍的那些词你还记得吗,叔叔我现在稳定哈，刚才我给你说了很多遍很多遍的那些词，李海军。
A\B\B266.wav,分别拍每个肩膀拍两次拍完之后眨一下眼睛,分别拍每个肩膀拍两次，拍完之后眨一下眼睛。
A\C\D516.wav,记不到了嗯,记不到啦。
A\A\Q101.wav,那我们爷爷今天今天我们这个评估基本上就结束了,哦。
A\B\G52.wav,好接下来我说一句话哈阿姨我只能说一遍你要重复我这句话哈我会尽量说慢一点,接下来，我只能说一遍哈，你要重复我这句话哈，哈哈。
A\B\A220.wav,好这个读过吗洋葱也读过了的,这个读过吗？
A\B\G251.wav,口琴蛮哦那个拉起,口气嘛，哦，那个，那个。
A\C\F419.wav,需退休工资那些都是他自自己去阿家属那我这边的问题我大概都问完了,去退休工资那些都是自己去。
A\C\E446.wav,这个是啥子爸爸他刚刚说的山羊那个哈儿他刚刚给你说的三个选择三个选择粽子,这个是啥子嘛？他刚才说的啥子哟？三个选择。
A\A\B179.wav,他一直在吃没有吗他平时吃的钙片补了钙其实没有治没有治疗哈,婆婆。
A\C\H25.wav,什么树木呀树木嗯,什么水，嗯。
A\B\D5.wav,那你早上一般几点起呢起来啊起来起来的早哦我一般都起来得早,嗯，那你这哈儿一般几点去？
A\A\D425.wav,走帕蘑菇衣架,走嘛，蘑菇，你假。
A\A\E277.wav,这个呢角落好像读过,在搞啷。
A\B\G107.wav,还是我会给你放一些词阿姨还是挨个挨个的读一下哈,还是我给你发一些字，然后阿姨还是挨个挨个读一下哈。
A\B\L279.wav,记不到都记不到,记不倒，走几步到了康哥。
A\B\C18.wav,我们先从数学的一页变到语文的一页在数学的二变成语文的二,我们先从数学的夜练到语文里，在数学第二，语文2。
A\C\A282.wav,然后嗯可能总体情况来说应该不是很好到时候等,然后嗯，更总体情况来说应该不是很好，所以说啊，到时候等。
A\C\F494.wav,记不清楚五六七五六七,记不清楚。
A\C\G111.wav,连起水管剃剃须刀你认真看,年轻谁快乐，气剃须刀认真看。
A\C\H417.wav,嗯外出活动呢能不能去小区里去活动一下自己,嗯，嗯，我能不能去小区里去活动一下自己。
A\C\C612.wav,一周有没得三天这种情况没得嫩个频繁,有没得？
A\A\B545.wav,我们现在呢你看一的上面有一个开始二十五的上面有一个结束,你看上面有一个彩视，上面有一个技术。
A\C\A258.wav,她上厕所的话是你们需要去提醒吗我们需要可能,嗯，在上厕所的话是，你们需要。
A\A\Q129.wav,婆婆等哈我会给你看一张图你只有十秒钟的时间,等下我会给你看一张图，你只有4只有时间。
A\B\Y272.wav,哦斧子嗯,
A\B\S420.wav,对了三让你连这边你要连那边,
A\A\A030.wav,耶嘞是啥子哟这个没学算了这个是啥子嘛铅笔呀嗯嗯对,羽绒服。
A\B\Z324.wav,他有没得脱意志的表现安就是做事很冲动不考虑后果然后对别人就是与素不相识的人交谈好像自己认识对方一样然后说一些祖国啊评论性语言啊不没得这些表现哈没得,哎哟，他有没得脱抑制的表现啦？就是，嗯做事很冲动不考虑后果，然后对别人，就是与素不相识的人交谈，好像自己认识对方一样，然后说。
A\C\F415.wav,他有可能那种有可能比如说哈你今天中午到底吃没吃药呀他有可能吃啦勒,他有可能那种有可能比如说哈，因为我今天中午到底吃没吃药呀，他有可能吃辣的。
A\B\G369.wav,那他自己吃药那些他有没有自己吃药呀他在吃药但他有时候会吃错,没吃药啊，那些他用嘴吃药啊，吃醋。
A\C\F127.wav,记不起记不到别急着记现在想一下记得到哪些,对不起，借得到几样不？
A\A\C183.wav,等哈有需要的时候我会给你说的哈现在我们开始我会问你几个问题,如果需要的时候我会给你说的哈，现在我们现在开始我想问你个问题。
A\A\B537.wav,叔叔我们现在换一个哈比如我给你说一二你就要倒过来说二一,比如说我跟你说一哈儿，你就要说而已。
A\B\S173.wav,没听见,婷婷儿。
A\A\E216.wav,画完了举起来我看一眼哈把钟表举起来我看一眼,我忘了举起来我看一眼哈，巴中。
A\A\A188.wav,没得武器有红旗有,
A\B\E278.wav,蛇没有,没有。
A\A\Q825.wav,飞机飞机念过没得飞机念过哩念过哩,随机。
A\A\A760.wav,爷爷能不能坚持一哈十分钟能不能坚持十分钟做啥子嘛再考记忆力,我不清楚哈。
A\A\Q863.wav,三脚架机械手臂还是画架选一个三脚架三脚架对头,三个加机械手表还是画架？对头。
A\B\D112.wav,呃三九二四八七三九二四八七,二三舅24873924，啊。
A\A\B516.wav,画个十一点十分画针现在开始画针了,发个11:10，华珍现在开始打针了。
A\C\F522.wav,认不到有没得开始,有没得开始？
A\C\H445.wav,好然后您有没有经常感到心情沉重啊郁闷啊这种情况,好，然后你又没有没有干到，经常感到心情沉重呀，郁闷呀，有没有这种情况？
A\B\B645.wav,她晚上的话有没得啥子比如说起来把别个弄醒啊或者说梦游啊有没得这种情况没有没有啊没有哈,他晚上的话有没得啥子，比如说，嗯，起来把别个弄醒啦。
A\A\C652.wav,锤子没有说过刀子刀子没有说过,崔字没有说过，嫂子，老子说我。
A\A\E217.wav,嗯好好我知道了我知道了好阿姨,8号我就到了就到了，安逸。
A\C\F670.wav,内个是啥子,这个是啥子啊？
A\B\Z86.wav,这是啥子呀这是啥子,这是啥子呀？弄啥子？
A\B\B115.wav,要领方向盘水罐剃刀二胡,摇铃方向盘水光剃刀二胡。
A\A\A621.wav,这是束花啊哎花,嗯。
A\B\Y159.wav,一开始八结束的这一张啥子结束安,
A\B\A48.wav,现在呢啊可以可以那您看一下他动作做得对吗对对对,真的呢？
A\A\B110.wav,现在好就有一天晚上发了病了你发啥病了心脏不好啊,符合我不？
A\B\S479.wav,但是他就总在坚持钱算错了是吧啊,坚持是吧？
A\B\G365.wav,就是今天买了什么菜然后买了牛肉牛肉,我今天卖了什么菜哟？
A\A\E162.wav,铁路嗯儿童嗯硬币嗯旗子,谢了，二筒，杨平，嗯，气人。
A\A\Q587.wav,村庄村庄角落角落,春装角落。
A\A\C398.wav,方向盘水罐剃刀二胡,方向盘水管儿提到二胡。
A\A\B451.wav,家属麻烦就是把一张白纸和一个笔就这么两个分别放在叔叔面前的桌上就可以,家属麻烦就是办一张白纸和一个b就这么两个，分别放在叔叔面前的桌上就可以。
A\A\C665.wav,鱼什么鱼鱼嘛云鱼,晕什么晕，御马运，晕。
A\B\D218.wav,呃那她有没有就是婆婆有没有一些很异常的举动呢让你觉得很很不能理解的举动没有就是她记不住这点就是上一秒翻的东西下一秒又在翻重复的找哦哦哦这种状况哈比如说比如说他的钥匙,嗯，那他又没有你，就是婆婆又没有，没有。
A\C\A290.wav,嗯好嘞好打扰了麻烦了没事再见,哈哈哈，打扰了。
A\B\L292.wav,大学大学没说过,得。
A\A\E547.wav,喜欢唱歌呀,想唱歌呀。
A\A\E083.wav,记不到了记不到了没事想起一个算一个,你。
A\C\F586.wav,嗯好十七页拿到啦嗯好婆婆您听我的口令哈,嗯，好，17年拿到了，婆婆你听我的口令哈。
A\C\A175.wav,啊没事哈,嗯，真心了。
A\C\B208.wav,见过见过见过这个字哈,见过，点过，剪个这个纸哈。
A\B\L4.wav,用来做的一个东西用来做的啊看不到嘞个家伙儿,我买了一个东西，看不到。
A\A\C634.wav,这个是漏斗,这个是漏洞。
A\A\B498.wav,书包没有,煮饭没有？
A\B\H94.wav,是烟囱哈船看到一种船是啥子,是烟囱哈，看了一种船是啥子？
A\A\C362.wav,那您现在不看时间你告诉我一下大概几点了,那你现在不看时间，你大概告诉我一下，现在打开机电脑。
A\B\C117.wav,眼睛,眼睛。
A\B\B426.wav,水龙头嗯好的还有吗,嗯，朋友吗？
A\C\B193.wav,好了画好了好好婆婆现在我们要,到哪了？
A\A\D086.wav,攻击行为攻击攻击打骂固执,污熊。
A\C\C178.wav,剃刀二胡嗯那啥子水罐,贴点儿二胡，嗯，水。
A\B\S124.wav,葡萄球拍嗯葡萄,红包求。
A\C\G172.wav,这个有没得名字哦食指撒这是食指然后现在又换了中间这个指姆叫啥子中指,这是什字？
A\C\D603.wav,这是口琴还是冷气机还是箱子,开始口琴还是冷气机还是箱子？
A\C\D402.wav,十点十分十一点十分,辞职的时间，11:10。
A\B\F167.wav,好回形针是啥子嘛回形针是,回形针儿是啥子嘛？溃疡真是。
A\C\E385.wav,胳膊哎猫猫猫猫,猴子，妈妈胡子。
A\B\Y183.wav,不婆婆是先数字再汉字您看我的屏幕嘛,
A\A\A326.wav,前面都不说了是十五个十五个对头是十五个,嗯。
A\A\A429.wav,试一下嘛皮球国旗树木皮球国旗,好王。
A\A\C474.wav,家庭聚会就在屋头聚会在哪里聚会哇我是老大,家庭聚会都在我屋头去问在哪儿接我，我是老大。
A\B\Z107.wav,好可以罗可以罗哈,那我们做下一步哈，有一只手只有一只手，你两个手指拍每个肩膀，两次并眨眨眼睛。
A\C\B304.wav,十八十九二十找不到了,翅膀，四舅，而是找不到啦。
A\A\B082.wav,我晓得先把它评估做了再说嘛它可能是有点混合性的因素因为它血管病变有点多,我。
A\B\Y319.wav,这不是锯齿吗你看下面这个弯弯曲曲的就是锯齿,嗯。
A\A\D256.wav,六幺九四七三,6腰酒473。
A\A\Q852.wav,满意哈你有没得很多兴趣爱好都放弃了,满意啊，你有很多兴趣爱好都放弃了。
A\B\S486.wav,嗯对对然后他出去买东西比如拿着一百块去买十块钱的东西没有补钱就回来了呀钱算不清楚之类的,嗯，对对，然后她出去卖东西，然后就说他拿钱去，然后就没有。
A\B\C124.wav,先算先算因为马上你肯定要记得很多,不想算了，就算因为不能马上马上你肯定要记到很多。
A\B\Y368.wav,嗯圆规尺,嗯。
A\A\A280.wav,手推车重庆都楞个说哩,重庆。
A\C\B60.wav,最后放到您的大腿上,最后防到领导打退缩。
A\C\C581.wav,斗连比它大哩内个数字你看嘛下面白个圆圆四个圆圆数字增起连看嘛,要连她比他大的一个数字看嘛。
A\A\B156.wav,你嘞个你还是很坚强啊三十五岁就开始生病到现在三十五岁生啥子病哎,侮辱妇女。
A\A\D631.wav,婆婆嘞个展示出来的图片是啥子东西,
A\C\F201.wav,内是剪刀梳子,我是剪刀梳子。
A\B\G118.wav,军队,军队。
A\C\E281.wav,四得哪儿勒哟找撒,早。
A\C\A200.wav,我感觉好像,第2枪。
A\A\D419.wav,刀子床耳朵自行车,单床，耳朵。
A\A\B637.wav,它是它是一种文具,他是，他是一个问句。
A\A\D210.wav,嘞个是嘞个小娃娃戴在脸上的这个,那个是那个，那个就是那个小娃娃带到脸上。
A\B\B503.wav,然后汉字三又要连大一个的数字四数字四跟汉字四连起来,老汉子山又要练大一个的数字是，44个汉字是连起来。
A\B\Z315.wav,嗯你们为此感到苦恼不对他这个焦虑的症状觉得没得办法应对他很苦恼有,嗯，你们为此感到苦恼不对他那个焦虑征吧，觉得没得办法应对他，不哭了。
A\C\F99.wav,好她写完啦好现在我们还是看一下,他洗完啦，还是看一下。
A\C\E42.wav,嗯现在现在你看不看得到那句话叔叔啊,嗯，现在现在，你看不看得到这句话是不是啊？
A\C\C540.wav,我给你计个时嘛你晓得撒你晓得数字你认得到数字撒陈老师,我给你。
A\A\Q192.wav,狗锤子锤子椅子,走锤子，椅子。
A\C\B382.wav,看了半天我看电视听诊器这是个漏斗好这个,看了半天我肯定正庆这是个漏洞。
A\C\G15.wav,比较早的时候你四五点钟就起来了不有事情的话你就说重庆话嘛主要是今天我出去了,
A\C\C629.wav,包子,包子，嗯。
A\B\G278.wav,啊你觉得未来有希望吗有希望,那你觉得未来有希望吗？
A\C\G149.wav,那就是属于她可能也不熟哦好的没事哈这个,那就是属于这个。
A\B\A21.wav,阿姨现在我跟你讲三样东西哈然后我讲完之后你要给我重复一遍然后把它们记到过一会儿我还要问你好吗,中学之后。
A\B\A121.wav,还有一个装液体那个是什么记不到是水罐哈水罐,还有个桩也提到那个东西是吗？
A\B\D57.wav,您觉得他是什么种类就可以不用具体到是什么,你觉得他是什么种的就可以，可以不用举起的是什么？
A\B\Z34.wav,请闭上眼睛诶你就照着这句话做撒,请凭因那句话做噻。
A\A\D566.wav,继续减七九十三再减七,
A\A\Q556.wav,体称没看过,骑车，浏阳路。
A\A\C480.wav,叔叔您现在就是拿这个信封你要假装寄一封信给你自己,是说你现在只是那里的清风哈，然后你要假装寄一封信给你之际。
A\B\E376.wav,他反正现在叫他去看电影啊什么的这些都不去了,妈，反正现在找他去什么看电影啊，这些都不取了。
A\B\E374.wav,烦躁那种脾气很大那种肯定是有困扰了就一天到晚他都在发脾气,烦躁那种他是脾气很大的那种，困扰了就一天到晚他都在发脾气。
A\C\C258.wav,啊那你之前是好久搬过来呢你之前在老家是好多年前哩事情呐,儿。
A\C\A141.wav,行拿给她吧拿一张白纸给给婆婆嗯,今晚拿给他妈拿一张带去给婆婆。
A\A\D196.wav,现在你回忆下婆婆想得起哪些海洋,既然你回忆一下不哪些海洋？
A\A\C462.wav,精力可以也精力可以哈,今天可以喊你。
A\B\H90.wav,好鸟是哪一个啥子安鸟,好，那你咬是哪一个？
A\A\D611.wav,猫头鹰和书桌哪个是鸟,
A\A\D625.wav,就是说你告诉我你能记到哪些词语嘛,
A\A\D072.wav,程度也不重哈那个哎哎程度很轻哈哎对头还有深更半夜出去转的,
A\B\B571.wav,你就不用管不用管数字了你感觉你画过啥子样子的符号就把它们全部填在里头,你不用管你就不用管数字啦，你感觉你画个啥子样子的符号，就把他们全部贴到堆头。
A\B\S60.wav,嗯记不得了,你。
A\A\Q041.wav,他可能洗半个钟头个钟头都阔以,
A\A\E146.wav,就是边读边记记下来多少就说多少好不好然后你再来一遍,就是边读边集起来多少就说多少嘛嘛。
A\A\A447.wav,我们齐心协力拉紧绳嗯嗯对,啊。
A\A\C184.wav,诶我问你啥子你就回答就行了哈然后家属不要帮忙需要家属帮忙的时候我会给你说的哈,哎，我问你啥子你回答就行了哈，然后家属不要帮忙，需要家属帮忙的时候我要给你说这个哈。
A\B\B588.wav,然后我们来看我们做一下个,然后我们来看我就吓一跳。
A\A\Q103.wav,那你喜不喜欢屋头比如说来人嘛家庭聚会呀或者你的老同事老朋友聚会你喜不喜欢嘛,
A\C\F321.wav,听过没有听到过没有将将谈拉勒个镜子,听过没有？
A\C\E283.wav,哪有个十九哦找撒你找撒斗是勒一页纸上哩爸爸勒纸上哩你看十九哦哦,早上都是你爸爸的。
A\C\G198.wav,把笔放在白纸的另外一边然后把白纸翻一个面,芭比放在跛子的另外一边，然后把白纸翻一个免。
A\A\Q187.wav,床好像有对哩对哩还有没得,床很洋，有不对的还有没得？
A\C\C191.wav,像内个我就我提示是万一你能想起一两个就阔以撒有一个是种海洋生物,
A\A\B282.wav,这几个月就是体重有没有什么家属我想问一下哈这些你们来回答就可以了,嗯，这几个月就是其中又没有什么，再说一下我问一下这些问题，你回答就可以了哈。
A\B\D12.wav,啊那你现在是几月份知道吗,那你现在是几月份知道吗？
A\B\Y66.wav,嗯好您在回忆一下,
A\C\D613.wav,这是听筒还是听诊器还是血压计,那是听筒还是听诊器？还是血压计？
A\A\C351.wav,那你这三个月有没有降低了这三个月有没有很严重的变化呢,那你这三个月有没有有没有降低呢？这三个月有什么很严重就变换了。
A\B\Q41.wav,好好和我说嘛欸好爷爷那你现在辛苦了哈现在你去休息嘛,那你现在辛苦了哈，现在你就休息嘛。
A\B\S559.wav,对不是尿失禁就是裤子没脱下去,二十几。
A\B\L225.wav,这个是个那个锯子,这个是个那个橘子。
A\A\B252.wav,他电话号码记得好哎他自己的电话呀像我的我弟的就他,哎，他电话号码几个号挨，他直接打电话让他先救他。
A\A\C453.wav,对就是就是信封就是空白的信封就是黄色的那种,对，就是就是信封，就是空白的，信封就是那个黄色的那种。
A\C\D476.wav,好你拿到下一张纸,你拿到下一张纸，下一张纸。
A\A\A401.wav,做决定很容易吗做决定啊哎做决定容易,红包，嗯。
A\B\R86.wav,我屋哪里得你怕动物啥子你看到猪你肯定看到过噻哪个猪那些你看到过哦哦你说猪哦,你在那里看到的啊？
A\B\L90.wav,王国没得,王国美。
A\B\Z220.wav,嘞是啥子爸爸爸爸嘞个念到过没得爸爸嘞个念到过没得念到过念到过,这个呀，没得追书霞。
A\B\E248.wav,那个有一些关于身体类的就是我说的第一个就是身体类的耳朵胳膊对对对,那个游戏就是关于身体累的，就是我的第1个就是一个耳朵。
A\C\D9.wav,你说晓得不晓得就行撒不晓得现在今天是几号,你今天想都不晓得，现在检是几号。
A\A\D237.wav,来我们来做另外一个现在把嘞个信封拿出来,把那个信封拿出来。
A\A\A857.wav,家具哎家具,么？
A\A\B289.wav,从你上床好久才能睡得着至少都要一个半小时一个多小时,从你上床好久才能睡得着半小时，一个多小时。
A\A\B363.wav,那我们再来一遍嘛我们再来一遍我们看一下我们还是看一下还是要记一下哈,喊到我们这儿来得嘛，我们在那边我们看一下，我们还是看一下还是要记一下哈。
A\B\B195.wav,有一个是一种船,有一个是一种传。
A\A\B199.wav,他那个没得法了呀他要不要时不时给他做一点膀胱治疗嘛做过没得,
A\B\S337.wav,嗯第一个寂静哈,嗯，一个姐姐哈。
A\A\Q491.wav,旗子图书馆海洋,继续图书馆。
A\A\A268.wav,哦一五二八六还有个二没说,嗯！
A\A\B058.wav,阔能你嘞个块块像是色素沉着了吧,火木木火火惚惚。
A\A\Q515.wav,认不到嘞是啥子哎,我啷个认不倒。
A\B\L106.wav,挥发没得,废话没得。
A\A\C199.wav,一百减七算哈等于好多,你别见气，摔哈儿的好多。
A\C\D470.wav,按照她的意思去连,我的意思是你。
A\A\Q424.wav,丰都,不工作。
A\A\C271.wav,好有一种紧固件紧固件是啥子紧固件更记不到了,好有一种紧固件儿，紧固件儿是啥子？
A\C\B505.wav,钟钟钟没有,中中中央。
A\A\D650.wav,先拿给他画嘛你离他稍微远点有些问题我都来问你因为他嘞个画钟基本上就没得啥子了,嗯哦哦。
A\C\H344.wav,没有女儿女儿没有,没有，琳儿，没有。
A\B\L229.wav,没看出来是个啥子家伙我给你说三个你来选哈嗯它是大班车手推车还是轮椅,我跟你说三个你来选哈，他是大单车，手推车还是轮椅？
A\C\A23.wav,直肠癌切除了但是没复发了还有那个脑梗没有了高血压没有了都没有了,才切除了就是，嗯，没复发了，还有那个老庚没有了高血压没有？懂没有？
A\C\C210.wav,水罐水罐说勒哈唉方向盘,水管水管说的哈，方向盘。
A\A\C410.wav,皮肤好多了就不行图书馆这是麦子,皮肤图书馆只买一只。
A\C\G78.wav,画个图啊把屏幕上这个画出来比着画画就这个呀,发个图啊。
A\B\R214.wav,那这那这种的话他她了这一方面还没有其他的呀其他没有,那这种的话，他除了这一方面还有其他的，起来没有？
A\C\D86.wav,这个词你读一哈嘛读一哈,那个是你读一下嘛，问一下。
A\A\C119.wav,用来测量的物品是啥子用来测量的测量的是啥子,用来测量的物品是啥子？用来测量的测量的是啥子？
A\C\H142.wav,第二个是硬币第三个铁路,第2个声音比第3个铁路，嗯。
A\C\C322.wav,那没得问题好的然后你平时买东西基本上嗯,那没得问题。
A\A\C460.wav,远一点的东西不是亲近的人的哈就要稍微差一点,嗯，远一点儿的，有些东西不是亲近的人的哈，不要稍微差一点。
A\A\Q890.wav,它是标靶还是飞镖还是火箭,你是表达还是飞镖？还是火箭？
A\A\C020.wav,发啥子发啥子发啥子好不好也是好开始嘛,发啥子发啥子发啥子好不好，有事吗？
A\C\H5.wav,大概有十一二年吧额十一二年初中毕业以后读中专呀,就是那个幼师，12年82年初中毕业以后中专。
A\C\A184.wav,婆婆尽量画的像一点哈,不过今天画得想一点啊。
A\C\F270.wav,好这个就叫那种那个是个动物我也说不出来它的名字,打几下他。
A\C\E371.wav,那哪样倒起哟额,这年头那么多可以到处这样吗？嗯，我给他看个视频让他再发再发一个。
A\C\G320.wav,画架啊三脚架三脚架我觉得不是很像啊,花架，三角前三角夹，好像不是很想你呀。
A\B\A232.wav,五八一九二六四七五八一九二六四七,58192647。
A\A\E173.wav,记不住了,那我记不住了。
A\B\S116.wav,这种植物是仙人掌哈,这种植物是仙人掌哈。
A\A\Q130.wav,你找一张找一张空白的纸给婆婆嘛嗯好,那你找一张空照张空白的资格和好吗？嗯。
A\C\D322.wav,哦好她能不能自己去比如自己去搭公交车出租车得不得行,哦，他能不能各人去各人嗯，你说自己去搭公交车，出租车得不得行。
A\C\F334.wav,又没记住我说板凳板凳板凳板凳是,你不清楚。
A\A\E016.wav,嗯第几楼呢第几楼第十五楼,嗯，你在闹呢？
A\B\C135.wav,记不到了好我等哈儿再给你念一遍我最后一遍记不得要提醒你,起不早了，嗯，好的，我等哈儿我再给你念一遍，我最后一遍之前我提醒你一下。
A\B\S633.wav,自行车然后,自行车，然后。
A\C\E263.wav,从小到大一二三四五六七八对不对现在让她从一,从小到大12345678对不对？现在让他。
A\B\L237.wav,嘞个没看到过是个啥子东西嗯它是飞镖还是标靶还是火箭,没怎么看，倒过去的，三个等一个，嗯，他是非标还是标版还是火箭？
A\A\B105.wav,但是如果说你考虑他综合的综合的考虑的话这个病变应该说呢,我和晶向红火，舒服。
A\B\A101.wav,乐器乐器啊是二胡吗对对对对的非常好,月骑，对对对对对非常好。
A\B\F39.wav,好你照着这个做一遍撒囊个做安,好，你照到那个做一遍呢，啷个做。
A\B\F80.wav,球拍嗯很好,球拍，嗯，对头。
A\B\S263.wav,然后我们来进行下一项,然后。
A\C\D88.wav,嗯好铁路铁路,电路，铁路。
A\A\Q335.wav,然后鼻子念过没得,然后鼻子练过没得？
A\C\C230.wav,海洋好你把你记到的词语说一遍刚刚,哎呀，你。
A\B\D98.wav,呃她指的是对的吗她把邮票这个位置指的是对的,嗯，他知道是对的嘛。
A\C\C22.wav,那就是身体各方面表示那一样就是好那就是六月份,
A\C\E61.wav,家具家具是哪一个家具是书桌嗯好哪一个是运动器材,家具家具是哪一个？嗯，好，哪一个是运动器材？
A\B\H104.wav,婴儿用品喃娃娃用的给娃儿耍的,婴儿用骗娃娃儿的，逗娃儿耍的。
A\A\Q278.wav,仙人掌婆婆你看这是啥子,仙人掌好好的看些啥子？
A\B\A254.wav,完了好的我看一下,我看到了。
A\A\Q831.wav,蜡烛念过没有,嗯，天空没有。
A\C\B359.wav,她不晓得这个东西婆婆它是一种,嗯。
A\A\C337.wav,嗯一种植物是啥子植物是仙人掌,嗯，这种植物是啥子？仙人掌。
A\B\S450.wav,六一四七九三,刘一行二。
A\A\A702.wav,就是说你做这件事需要集中所有的精力做困不困难,哦。
A\A\D148.wav,他嘞个记忆力比如说早上吃啥子东西记得到不他有时候记不到,呵呵，祝福。
A\A\B609.wav,叔叔你觉得他像蜗牛还是像扇贝,只是你觉得他想蜗牛还是想闪白？
A\B\A347.wav,那阿姨如果如果您的朋友找你出去耍高不高兴一起去呀高兴得很,如果如果你的朋友叫你出去耍，不高兴你去取。
A\B\R125.wav,这个是什么东西哪里会晓得,这是什么专业的？你不知道哪里可以。
A\C\G238.wav,五五八二第二个六四三九,558儿643酒。
A\B\S587.wav,那他也没有说自己能在正确的时间吃正确的那个药的数量他这个能做到吗还是需要妈妈提醒,没有就不用说，能够在正确的时间是准确的嘛。
A\C\H435.wav,没有这个感觉嗯有没有经常感觉到厌倦没有那您觉得未来有没有希望,没有这种感觉，嗯，有没有希望？
A\B\H20.wav,一百减去七等于好多一百减好多一百个减七个还有好多一百减七啊等于,100减去700多。
A\C\E488.wav,就那个样儿个反正就是就是啷个了,
A\C\C710.wav,你说陈老师平时是不是会感觉焦虑或者很担心那些事情,他平时有时候会感觉焦虑，就是有些事情很紧张啊，还担心这些事情。
A\A\A506.wav,等哈哎你看到要多一些有一部分是里面的有一部分是我另外插进来干扰你哩哈等哈你就给我认出来哪些是这些好吧,生活梦龙华。
A\C\C186.wav,家具也想不起咯啊有一个是一个建筑物哩一个部分,感觉也想不起来了，有一个是建筑物的一个部分。
A\C\C13.wav,像夏天内种都是要睡午觉都是要睡两三个小时就是白天不要睡午觉的情况,那夏天。
A\A\Q789.wav,他有没得情绪不稳定没得,嗯，他有没得情绪不稳定？没得。
A\A\A019.wav,七十二再减七哎等于六十五很好,很火。
A\C\F165.wav,听明白没有听明白里好下一个,听明白没有？好下一个医生啊。
A\C\F22.wav,她内些都很清楚还是今年是哪一年今年是,他这些都很清楚还是今天是哪一个？
A\A\A803.wav,看东西哩望眼镜测量哩直尺,放。
A\A\E328.wav,嗯嗯好,嗯嗯。
A\C\C828.wav,你说是哪些个词语吗镜子你有没有记过,你说是。
A\A\D512.wav,基本上的梳洗洗脸那些都还是自己可以搞哈自理能力都有,基本上的梳洗啊，洗脸那些都还是自己的能力都有。
A\C\C783.wav,你说它是别墅还是仙人掌仙人掌哟,说你是别墅还是仙人掌？
A\A\B526.wav,读六九四,赌博牛，狗屎。
A\C\E142.wav,啊就是撒子哦看不清楚它是一个装钱的一个东西是哪种唉哦皮包儿皮包儿口琴,看不清楚。
